user_id,days_last_order,total_orders,total_value,unique_days_visited,total_sessions,avg_duration_btw_login,avg_session_time,avg_page_visits,label
151,5,34,152975,130,404,1.39,437.01,27.42,0
332,7,3,2959,17,24,4.71,767.08,31.58,1
332,14,13,8791,58,101,1.88,274.68,21.73,0
443,22,15,7873,94,177,1.74,200.95,20.94,0
444,19,13,9875,101,198,1.82,221.55,18.62,0
720,7,19,14310,20,95,0.95,286.54,17.16,0
850,3,7,17542,74,173,2.31,262.22,15.04,0
995,6,5,2449,47,65,3.77,246.26,17.43,0
1177,5,6,25481,16,42,1.44,173.03,13.40,0
1220,3,6,4193,15,16,5.47,590.22,25.19,0
1404,27,5,10398,65,129,2.58,278.95,18.99,1
1470,25,13,11322,1,1,1.00,214.48,40.00,1
1551,12,6,4068,84,128,2.17,336.20,13.01,1
1551,8,4,2015,28,34,5.61,206.56,11.59,1
1614,1,31,34338,143,452,1.28,671.21,60.61,0
1919,30,4,3000,9,12,16.56,1195.56,66.83,1
1923,19,14,20013,2,2,6.00,385.19,10.00,1
2585,1,8,8517,43,59,2.02,729.51,47.24,0
2820,30,4,11859,18,27,8.89,407.96,20.89,1
3247,4,4,5608,3,8,1.33,509.47,35.50,0
3450,20,3,1721,8,36,1.25,449.51,39.92,1
3688,18,6,3131,123,437,1.50,775.54,33.59,0
3773,19,4,1294,9,17,1.11,538.28,44.94,1
3977,7,23,10371,139,498,1.17,838.62,85.31,1
3997,6,9,18297,65,113,2.78,200.88,15.91,0
4173,2,3,932,67,124,2.00,189.21,10.28,1
4284,5,80,638264,64,178,2.88,303.01,32.94,0
4412,5,24,38713,99,174,1.86,699.83,28.21,0
4511,1,16,10067,78,227,2.29,276.55,27.02,0
4597,0,4,1739,6,11,1.83,396.17,32.55,1
4990,3,11,4959,71,124,2.44,483.30,24.56,1
5166,8,4,3094,47,80,3.89,220.42,12.93,0
5184,22,3,1827,8,17,2.75,94.83,7.71,1
5439,25,5,6140,49,98,3.12,236.13,22.85,1
5668,8,6,4985,74,217,1.16,889.66,25.46,0
5979,6,3,15597,5,21,1.00,594.04,17.00,1
6120,29,3,5359,16,18,9.25,126.50,8.33,1
6496,29,3,2460,17,35,10.65,224.84,23.03,1
6655,6,5,2475,21,55,1.05,649.11,39.36,0
